苏泽远,山东省滨州市博兴县陈户镇,广东农业大学,310101198905099000    ,13223822345
田娜,吉林省四平市梨树县白山乡,河北大学,35010119830708253X,18152579001
曹天赫,宁夏回族自治区吴忠市同心县兴隆乡,黑龙江师范大学,520201199909305000    ,13169836449
黄诗悦,海南省儋州市儋州市南丰镇,黑龙江科技大学,350201197708241000    ,17891601886
余熙涵,湖南省郴州市宜章县五岭镇,贵州师范大学,610101199306214000    ,19882899601
尹萌,江西省抚州市宜黄县东陂镇,内蒙古交通大学,120101199906044000    ,14933843467
郝泽惠,福建省龙岩市连城县庙前镇,新疆建筑大学,330201197710091000    ,15870779101
徐东东,广西壮族自治区百色市乐业县花坪镇,江苏交通大学,630201198002278000    ,14988861982
金萌萌,安徽省宣城市旌德县云乐镇,山东理工大学,340201198302126000    ,19832092139
蔡雅涵,河南省开封市鼓楼区仙人庄街道,甘肃建筑大学,310201199007218000    ,19354751034
于宜豪,重庆市县忠县野鹤镇,山西交通大学,150101197807153000    ,18546904048
戴佳玉,浙江省金华市磐安县大盘镇,山东农业大学,430101198911104000    ,15739348087
邓冰洁,海南省三亚市天涯区天涯区直辖村级区划,湖南交通大学,640101200210216000    ,18967910375
卢美欣,贵州省铜仁市万山区大坪侗族土家族苗族乡,山东交通大学,110101197706105000    ,15392104483
田润丽,上海市市辖区黄浦区豫园街道,江苏工业大学,500201200003019000    ,18235417717
邓静,新疆维吾尔自治区伊犁哈萨克自治州霍尔果斯市工业园区街道,广东工业大学,37020119801113837X,13514740196
吴强,河南省漯河市源汇区空冢郭镇,山东科技大学,610201200401094000    ,13755101436
杨语晨,重庆市县云阳县后叶镇,安徽交通大学,340101198708225000    ,18169343712
贺国贤,西藏自治区林芝市墨脱县德兴乡,福建工业大学,130201199808013000    ,19695758922
姜泽惠,新疆维吾尔自治区博尔塔拉蒙古自治州精河县兵团九十一团,湖北医科大学,120201197511263000    ,16666261350
于建林,上海市市辖区浦东新区高桥镇,山东工商大学,650101199502218000    ,18250842377
武亦菲,宁夏回族自治区中卫市中宁县大战场镇,青海工业大学,650201200107246000    ,15627961904
雷伟洋,吉林省通化市集安市榆林镇,河南工业大学,650101197701024000    ,13075488912
苏美欣,广东省揭阳市榕城区东兴街道,江西交通大学,210101198304155000    ,17749526149
何汝鑫,海南省海口市美兰区蓝天街道,天津工商大学,500201197710248000    ,17267337266
汤熙涵,河南省鹤壁市鹤壁经济技术开发区东杨路,江西信息工程大学,150201200511247000    ,19195185634
罗昊轩,山东省烟台市蓬莱区北沟镇,广东大学,460101198301124000    ,14596873247
孙国贤,天津市市辖区津南区葛沽镇,上海化工大学,630101199411174000    ,19968275643
冯欣欣,陕西省铜川市宜君县哭泉镇,吉林医科大学,230101199710151000    ,13268079937
郭涵越,河北省唐山市迁西县白庙子乡,海南服装学院,54020119820730911X,15678842456
马丽,陕西省延安市子长市安定镇,新疆师范大学,210101198707132000    ,15362658056
乔瑾昆,安徽省宿州市宿州马鞍山现代产业园区宿州东部新城行政管理区,辽宁工业大学,120101198812282000    ,19159717554
赖益帆,河北省保定市安新县圈头乡,吉林化工大学,530101200105077000    ,18960275699
汤昕蕊,安徽省铜陵市铜官区幸福社区街道,河北信息工程大学,150101198611278000    ,19113959921
方文昊,黑龙江省齐齐哈尔市建华区区直辖村级区划,河南医科大学,540101199212284000    ,18646847606
顾欣怡,吉林省延边朝鲜族自治州敦化市雁鸣湖镇,北京理工大学,130201198812237000    ,15966215846
邹欣慧,北京市市辖区门头沟区妙峰山镇,黑龙江服装学院,330201199905243000    ,19120920286
曹瑾春,海南省省直辖县级行政区划陵水黎族自治县文罗镇,宁夏科技大学,510101197711225000    ,18566738409
江翔,湖南省湘潭市湘潭昭山示范区昭山镇,辽宁科技大学,460101198310206000    ,15993747041
蒋禹辰,湖南省长沙市天心区大托铺街道,海南建筑大学,230101197706251000    ,18931058259
陆晨璐,吉林省吉林市桦甸市新华街道,甘肃信息工程大学,440101199911179000    ,19362353762
朱佳琪,广西壮族自治区贺州市平桂区西湾街道,西藏化工大学,630201198109115000    ,15756470624
杨泽远,福建省漳州市芗城区天宝镇,北京工商大学,450101197711163000    ,13539206948
钱佳琪,四川省成都市郫都区德源街道,北京交通大学,150101198909035000    ,17395676238
冯新建,河北省承德市宽城满族自治县铧尖乡,山东信息工程大学,640101198707157000    ,13233591865
萧欣慧,西藏自治区那曲市申扎县雄梅镇,天津师范大学,110101198009161000    ,19686907871
谢平,甘肃省兰州市安宁区安宁堡街道,重庆建筑大学,500101200307172000    ,15356413702
邓欣宜,浙江省舟山市岱山县衢山镇,吉林理工大学,630101199901255000    ,15048860260
李冰枫,安徽省阜阳市界首市田营镇,山东大学,500101199307063000    ,17232521740
汤甜,陕西省铜川市王益区王益街道,重庆理工大学,540201197708295000    ,18477944043
高天赫,青海省西宁市湟中区海子沟乡,天津建筑大学,630101199704191000    ,15914343328
余冰枫,广西壮族自治区柳州市鹿寨县导江乡,新疆理工大学,520101198605131000    ,17737934516
叶溶溶,湖南省株洲市芦淞区白关镇,新疆信息工程大学,610101199601075000    ,16665703306
刘熙涵,甘肃省定西市临洮县漫洼乡,宁夏信息工程大学,610101199206029000    ,17294317206
康晨茜,山西省吕梁市中阳县下枣林乡,陕西医科大学,410101200002144000    ,18339195039
袁欣慧,安徽省马鞍山市博望区博望高新技术产业开发区,辽宁化工大学,320101199302238000    ,18859338963
龙佳欣,云南省德宏傣族景颇族自治州梁河县大厂乡,北京信息工程大学,360101199410281000    ,14990268802
魏平,宁夏回族自治区吴忠市盐池县花马池镇,山东建筑大学,450101199510109000    ,13050789029
易欣慧,天津市市辖区西青区西营门街道,海南化工大学,650101199406282000    ,14926661105
马凌晶,江西省吉安市青原区青原区河东经济开发区,北京建筑大学,130201200312089000    ,18260359342
谭秀兰,青海省海西蒙古族藏族自治州大柴旦行政委员会柴旦镇,广东医科大学,370101198601152000    ,17595810666
