苏泽远,山东省滨州市博兴县陈户镇,广东农业大学,310101198905099000    ,1.3e+08%
田娜,吉林省四平市梨树县白山乡,河北大学,35010119830708253X,1.8e+08%
曹天赫,宁夏回族自治区吴忠市同心县兴隆乡,黑龙江师范大学,520201199909305000    ,1.3e+08%
黄诗悦,海南省儋州市儋州市南丰镇,黑龙江科技大学,350201197708241000    ,1.8e+08%
余熙涵,湖南省郴州市宜章县五岭镇,贵州师范大学,610101199306214000    ,2e+08%
尹萌,江西省抚州市宜黄县东陂镇,内蒙古交通大学,120101199906044000    ,1.5e+08%
郝泽惠,福建省龙岩市连城县庙前镇,新疆建筑大学,330201197710091000    ,1.6e+08%
徐东东,广西壮族自治区百色市乐业县花坪镇,江苏交通大学,630201198002278000    ,1.5e+08%
金萌萌,安徽省宣城市旌德县云乐镇,山东理工大学,340201198302126000    ,2e+08%
蔡雅涵,河南省开封市鼓楼区仙人庄街道,甘肃建筑大学,310201199007218000    ,1.9e+08%
于宜豪,重庆市县忠县野鹤镇,山西交通大学,150101197807153000    ,1.9e+08%
戴佳玉,浙江省金华市磐安县大盘镇,山东农业大学,430101198911104000    ,1.6e+08%
邓冰洁,海南省三亚市天涯区天涯区直辖村级区划,湖南交通大学,640101200210216000    ,1.9e+08%
卢美欣,贵州省铜仁市万山区大坪侗族土家族苗族乡,山东交通大学,110101197706105000    ,1.5e+08%
田润丽,上海市市辖区黄浦区豫园街道,江苏工业大学,500201200003019000    ,1.8e+08%
邓静,新疆维吾尔自治区伊犁哈萨克自治州霍尔果斯市工业园区街道,广东工业大学,37020119801113837X,1.4e+08%
吴强,河南省漯河市源汇区空冢郭镇,山东科技大学,610201200401094000    ,1.4e+08%
杨语晨,重庆市县云阳县后叶镇,安徽交通大学,340101198708225000    ,1.8e+08%
贺国贤,西藏自治区林芝市墨脱县德兴乡,福建工业大学,130201199808013000    ,2e+08%
姜泽惠,新疆维吾尔自治区博尔塔拉蒙古自治州精河县兵团九十一团,湖北医科大学,120201197511263000    ,1.7e+08%
于建林,上海市市辖区浦东新区高桥镇,山东工商大学,650101199502218000    ,1.8e+08%
